stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,stop_access
3949,3949,Rajendra Nagar Square,Rajendra Nagar Square,,22.67008,75.8286,,,0,,Asia/Kolkata,0,,,
3950,3950,Railway Station,Railway Station,,22.71768,75.86885,,,0,,Asia/Kolkata,0,,,
3951,3951,R.T.O,R.T.O,,22.69989,75.84477,,,0,,Asia/Kolkata,0,,,
3952,3952,Sun City,Sun City,,22.75301,75.91547,,,0,,Asia/Kolkata,0,,,
3953,3953,Sukhliya,Sukhliya,,22.76108,75.87496,,,0,,Asia/Kolkata,0,,,
3956,3956,Subhash Nagar_2,Subhash Nagar_2,,22.74332,75.87088,,,0,,Asia/Kolkata,0,,,
3957,3957,Subhash Nagar_1,Subhash Nagar_1,,22.74302,75.8704,,,0,,Asia/Kolkata,0,,,
3958,3958,Smrati Talkies,Smrati Talkies,,22.72244,75.85266,,,0,,Asia/Kolkata,0,,,
3960,3960,Silicon City Gate,Silicon City Gate,,22.64862,75.82024,,,0,,Asia/Kolkata,0,,,
3961,3961,Sirpur,Sirpur,,22.70642,75.82118,,,0,,Asia/Kolkata,0,,,
3962,3962,Sindhi Colony,Sindhi Colony,,22.70085,75.86308,,,0,,Asia/Kolkata,0,,,
3964,3964,Shivshakti Nagar,Shivshakti Nagar,,22.71965,75.91076,,,0,,Asia/Kolkata,0,,,
3965,3965,Shivaji Vatika City Bus,Shivaji Vatika City Bus,,22.71079,75.88315,,,0,,Asia/Kolkata,0,,,
3966,3966,Shiv City Gate,Shiv City Gate,,22.65174,75.829,,,0,,Asia/Kolkata,0,,,
3967,3967,Shiv City square,Shiv City square,,22.65104,75.83103,,,0,,Asia/Kolkata,0,,,
3968,3968,Shanti Nagar,Shanti Nagar,,22.69762,75.90504,,,0,,Asia/Kolkata,0,,,
3969,3969,Shalimar Township City Bus,Shalimar Township City Bus,,22.76306,75.89917,,,0,,Asia/Kolkata,0,,,
3971,3971,Sch. No. 51,Sch. No. 51,,22.73997,75.84261,,,0,,Asia/Kolkata,0,,,
3972,3972,Sayaji,Sayaji,,22.75202,75.89107,,,0,,Asia/Kolkata,0,,,
3973,3973,Satya Sai City Bus,Satya Sai City Bus,,22.75532,75.89702,,,0,,Asia/Kolkata,0,,,
3975,3975,Sanmati Hospital,Sanmati Hospital,,22.73801,75.83437,,,0,,Asia/Kolkata,0,,,
3976,3976,Sanjay Setu_1,Sanjay Setu_1,,22.71866,75.85933,,,0,,Asia/Kolkata,0,,,
3978,3978,Sanghi Motors,Sanghi Motors,,22.78859,75.90684,,,0,,Asia/Kolkata,0,,,
3979,3979,Bhandari Mill,Bhandari Mill,,22.72985,75.86328,,,0,,Asia/Kolkata,0,,,
3980,3980,Tantya Bheel Chouraha (Bhawarkua),Tantya Bheel Chouraha (Bhawarkua),,22.69268,75.86781,,,0,,Asia/Kolkata,0,,,
3982,3982,Bholaram/Deendayal Upadhyay Garden,Bholaram/Deendayal Upadhyay Garden,,22.68805,75.8626,,,0,,Asia/Kolkata,0,,,
3983,3983,Bijasan / Bijasan Central School,Bijasan / Bijasan Central School,,22.73272,75.80021,,,0,,Asia/Kolkata,0,,,
3984,3984,Bombay Hospital,Bombay Hospital,,22.75361,75.90408,,,0,,Asia/Kolkata,0,,,
3985,3985,Chanakyapuri Square,Chanakyapuri Square,,22.68423,75.83581,,,0,,Asia/Kolkata,0,,,
3986,3986,Chandralok,Chandralok,,22.72962,75.89729,,,0,,Asia/Kolkata,0,,,
3987,3987,ChimanBagh,ChimanBagh,,22.724,75.86206,,,0,,Asia/Kolkata,0,,,
3988,3988,Chitawad_1,Chitawad_1,,22.68598,75.88179,,,0,,Asia/Kolkata,0,,,
3989,3989,Choithram Mandi Gate,Choithram Mandi Gate,,22.68188,75.85246,,,0,,Asia/Kolkata,0,,,
3990,3990,Christian Eminent,Christian Eminent,,22.73594,75.88671,,,0,,Asia/Kolkata,0,,,
3991,3991,City Bus Depot,City Bus Depot,,22.73763,75.90207,,,0,,Asia/Kolkata,0,,,
3995,3995,Diamond Colony,Diamond Colony,,22.72561,75.92302,,,0,,Asia/Kolkata,0,,,
